key|nickname|description|total_songs|total_playlists|total_friends|song_name|artist|album
10015|치리|소개글이 없습니다.|45|15|0|what2do (Feat. Crush, Jeff Bernat)|DEAN|130 mood : TRBL
10015|치리|소개글이 없습니다.|45|15|0|1월부터 6월까지|윤종신|행보 2013 윤종신
10015|치리|소개글이 없습니다.|45|15|0|눈의 꽃|박효신|미안하다 사랑한다 OST
10015|치리|소개글이 없습니다.|45|15|0|MS.BURGUNDY (미스 버건디)|손승연|MS.BURGUNDY (미스 버건디)
10015|치리|소개글이 없습니다.|45|15|0|미안해요 (Feat. T.O.P)|거미|Comfort
10015|치리|소개글이 없습니다.|45|15|0|꽃이 핀다|케이윌|[RE:]
10015|치리|소개글이 없습니다.|45|15|0|정류장|버스커 버스커|슈퍼스타K 3 Top11 Part 3
10015|치리|소개글이 없습니다.|45|15|0|그사람|화요비|820211
10015|치리|소개글이 없습니다.|45|15|0|Christmalo.win|서태지|Quiet Night
10015|치리|소개글이 없습니다.|45|15|0|I, I Love You|에스나 (eSNa)|I, I Love You
10015|치리|소개글이 없습니다.|45|15|0|No One Else Like You|Adam Levine (Maroon 5)|비긴 어게인 OST
10015|치리|소개글이 없습니다.|45|15|0|요즘 바쁜가봐|투빅|Soul Mate (소울메이트)
10015|치리|소개글이 없습니다.|45|15|0|Slow Dance|에디킴|너 사용법
10015|치리|소개글이 없습니다.|45|15|0|고백|정준일|보고싶었어요
10015|치리|소개글이 없습니다.|45|15|0|Coast Is Clear (With Chance The Rapper And The Social Experiment )|Skrillex|Recess
10015|치리|소개글이 없습니다.|45|15|0|夜が明けるよ / Yoruga Akeruyo (날이 밝아와요)|Supercell|Today Is A Beautiful Day
10015|치리|소개글이 없습니다.|45|15|0|Luv is (Feat. 배치기)|임정희|Luv is
10015|치리|소개글이 없습니다.|45|15|0|Bonjour (Intro)|Jeff Bernat|The Gentleman Approach
10015|치리|소개글이 없습니다.|45|15|0|두사람|성시경|4집 - 다시 꿈꾸고 싶다
10015|치리|소개글이 없습니다.|45|15|0|Shadow (그림자)|비스트|Hard to love, How to love
10015|치리|소개글이 없습니다.|45|15|0|Give It To Me|씨스타|Give It To Me
10015|치리|소개글이 없습니다.|45|15|0|Beethoven : 11 Bagatelles No.9 In A Minor Op.119 (베토벤 : 바가텔 9번 가단조 작품번호 119)|Julia Zilberquit|3 Centuries Of Bagatelles
10015|치리|소개글이 없습니다.|45|15|0|비트윈|홀라당|Spotlight
10015|치리|소개글이 없습니다.|45|15|0|So Sick|성수진|SBS K팝 스타 시즌2 TOP 10 (1회)
10015|치리|소개글이 없습니다.|45|15|0|이별택시|김연우|연인
10015|치리|소개글이 없습니다.|45|15|0|라면인건가|악동뮤지션|SBS K팝 스타 시즌2 TOP 10 (1회)
10015|치리|소개글이 없습니다.|45|15|0|휘파람|로이킴|슈퍼스타 K4 Top 12 Part.2
